Name,Surname,Function,Company,Vehicle,Weight,Height,Postal_code
Gabriela,Martins,Conference planner,BASCO,2001 BMW Z8,105.1,167,
Caua,Cardoso,Conference planner,Liberty Wealth Planners,2005 Mazda MPV,114,175,
Anna,Pinto,Conference service coordinator,Wealthy Ideas,2005 BMW 535,100.9,155,
Pedro,Souza,Conservation scientist,Electronic Geek,2004 Mercedes-Benz CLS,82.9,169,
Otavio,Sousa,Conservation scientist,Frank's Nursery & Crafts,2009 Mazda 5,66,169,
Amanda,Gomes,Conservation scientist,Future Plan,1992 Honda Concerto,100.4,158,
Miguel,Souza,Conservation scientist,Integra Wealth,2006 Lancia Phedra,62.6,176,
Kauan,Ribeiro,Conservation worker,Best Biz Survis,2008 Volvo XC90,88.1,177,
Giovanna,Castro,Conservation worker,Ole's,2008 TVR Chimaera,94.4,172,
Matilde,Oliveira,Conservation worker,Road Runner Lawn Services,2008 GMC Savana,76.4,157,
Leticia,Silva,Conservator,Eagle Food Centers,2010 Daewoo Rezzo,99.5,152,
Isabela,Lima,Construction and building inspector,Atlas Architectural Designs,2011 Honda Fit,57.9,158,30.622-530
Guilherme,Costa,Construction and building inspector,Life Plan Counselling,1997 Citroen XM,67.8,181,
Brenda,Correia,Construction and building inspector,Rogersound Labs,1994 Acura Vigor,64.7,159,
Larissa,Dias,Construction and maintenance painter,Handyman,2005 Honda S2000,100.3,157,
Vitoria,Rodrigues,Construction engineer,Rogers Peet,1999 Toyota Celica,98.9,166,
Pedro,Oliveira,Construction equipment operator,Integra Wealth,2001 Subaru Justy,89.3,177,
Felipe,Pereira,Construction equipment technician,Cut Rite,1997 Peugeot 306,112.4,176,
Bruna,Santos,Construction job cost estimator,Builders Square,2015 Lexus RX 350,53.9,157,
Leonor,Ferreira,Construction job cost estimator,Earthworks Yard Maintenance,1993 Volvo 850,58.8,157,
Ryan,Ferreira,Construction manager,Griff's Hamburgers,1992 Infiniti J30,71.8,175,
Kaua,Gomes,Construction manager,Laneco,1998 Ferrari 456M,95.5,188,
Yasmin,Correia,Construction manager,Price Club,1998 Daewoo Matiz,61.2,155,
Thiago,Ferreira,Construction mechanic,Lionel Playworld,2003 Audi RS6,83,181,
Diego,Cavalcanti,Construction mechanic,Star Interior Design,2009 Mitsubishi i-MiEV,96,165,
Paulo,Martins,Construction millwright,Asian Junction,1995 Audi A8,99.8,183,
Matheus,Oliveira,Construction millwright,Widdmann,2002 Vauxhall Vectra,79.4,189,
Lavinia,Oliveira,Constructor,Linens 'n Things,1996 BMW 535,51,173,
Luana,Ferreira,Consultant dietitian,Midwest TV & Appliance,2002 Mazda 626,103.5,174,
Gabrielly,Cardoso,Consultant dietitian,Red Fox Tavern,2008 Volkswagen Lupo,79.2,153,
Danilo,Martins,Content editor,Bell Markets,1993 Proton Persona,109.1,174,
Kauan,Souza,Content editor,Keeney's,2005 Buick LeSabre,90.8,186,
Gabriela,Cunha,Content editor,Yesterday's Records,2005 Subaru Forester,90.1,170,
Gabriela,Ferreira,Content editor,You Are Successful,1994 Daihatsu Domino,70.1,165,
Luis,Oliveira,Continuous mining machine operator,Strong Life,1996 Lancia Zeta,88.9,168,
Vitoria,Azevedo,Contract administrator,Suncoast Video,1997 Peugeot 206,84.2,156,
Kai,Silva,Contract cutter,Midwest TV & Appliance,2009 Ford Ecosport,83.9,184,32.675-545
Thiago,Ribeiro,Contract cutter,Skaggs-Alpha Beta,2004 Hyundai Getz,102.8,190,
Isabelle,Sousa,Contract cutter,Strongbod,2003 Chevrolet Trans Sport,102.2,156,
Julian,Ferreira,Contract cutter,Waves Music,2009 Lincoln MKX,76.9,172,
Renan,Cunha,Contract manager,Merrymaking,2004 Kia Opirus,114.2,170,
Daniel,Alves,Contract specialist,Dream Home Improvements,2005 Fiat Punto,108.5,179,
Lucas,Souza,Contract specialist,Weingarten's,2015 Nissan Titan,61.1,164,
Pedro,Santos,Control and valve installer,Henry's Hamburgers,2001 Acura EL,101.7,174,
Maria,Martins,Control room assistant,Choices,2000 Toyota RAV4,103.1,170,
Livia,Cavalcanti,Control room assistant,Landskip Yard Care,2006 Pontiac Vibe,58.1,154,
Tania,Goncalves,Control room trainee,Magik Lamp,1997 Dodge Ram,64.8,154,
Clara,Oliveira,Control room trainee,Sportswest,2004 Honda NSX,77.8,166,
Leticia,Rocha,Convention manager,Kelsey's Neighbourhood Bar & Grill,2005 Hyundai Elantra,56.4,167,
Manuela,Costa,Convention planner,Beefsteak Charlie's,2012 Suzuki Equator,66,169,
Amanda,Ribeiro,Cooling and freezing equipment tender,Allied City Stores,2004 Volvo C70,78.6,151,
Leonor,Alves,Copy writer,Cala Foods,2005 Lincoln Aviator,89.3,158,
Jose,Gomes,Corporate investigator,Anthony's,2015 Chevrolet Sonic,89.7,183,
Vitor,Cunha,Corporate office services manager,Practi-Plan Mapping,1994 TVR Cerbera,89.3,189,
Davi,Ferreira,Corporate recruiter,County Seat,2004 Saab 9-5,97.1,169,
Marisa,Almeida,Corporate recruiter,Mars Music,1998 Lancia Kappa,85.5,156,
Arthur,Dias,Corporate secretary,,2010 Bentley Continental Supersports,67.5,172,
Livia,Azevedo,Corporate secretary,Miller & Rhoads,2012 Land Rover Range Rover Evoque,72.8,162,
Livia,Rocha,Corporate secretary,Sports Unlimited,2004 MG XPower,56.3,154,
Nicolas,Ferreira,Correctional officer,Geri's Hamburgers,2008 Honda FR-V,102.7,177,
Luana,Melo,Correctional treatment specialist,Lee Wards,2007 Peugeot Partner,50.9,164,
Joao,Oliveira,Correspondence clerk,Adray,1999 Mercedes-Benz CLK GTR,103.9,176,
Laura,Melo,Correspondence clerk,Whitlocks Auto Supply,2000 Chevrolet Camaro,67.7,157,
Thiago,Goncalves,Correspondent,Practi-Plan,2011 Ascari KZ1,77.3,185,
Amanda,Barbosa,Correspondent,Quality Event Planner,2001 Toyota Sienna,58.9,159,
Livia,Rodrigues,Cosmetologist,Enrich Garden Services,2003 Vauxhall Meriva,88.6,154,
Vinicius,Carvalho,Cosmetologist,Scotty's Builders Supply,2001 BMW L7,70,172,
Carolina,Sousa,Cost accountant,Star Bright Investment Group,2015 Lexus RX 350,79.2,154,
Gabriela,Castro,Cost engineer,Bettendorf's,2005 Hyundai Elantra,74.8,166,
Paulo,Rodrigues,Cost engineer,Friendly Interior Design,2014 Nissan Sentra,104.3,174,
Nicole,Goncalves,Cost engineer,Twin Electronics,2014 Ford F-150,52.1,157,
Beatriz,Barros,Cost/investment recovery technician,Gottschalks,2003 Lada 110,73.5,162,
Aline,Costa,Cost/investment recovery technician,SoundTrack,1996 Lamborghini Diablo,60.3,156,
Camila,Correia,Cost/investment recovery technician,Yardbirds Home Center,2005 Hyundai Tucson,101.2,163,
Carla,Ferreira,Costume designer,A+ Electronics,2009 Dacia Sandero,56.9,154,
Thais,Pereira,Costume designer,Country Club Markets,1998 Buick Signia,95.9,164,
Joao,Sousa,Counseling psychologist,Midwest TV & Appliance,1995 Acura Integra,62.8,179,
Tomas,Martins,Counselor,Helping Hand,2003 Mercedes-Benz SLK,60.3,171,
Julieta,Rodrigues,Counselor,Magik Gray,2003 Lancia Zeta,82.8,164,
Andre,Rodrigues,Counter and rental clerk,Franklin Simon,2001 Opel Signum,112.7,177,
Nicolash,Melo,Counter clerk,Hill-Behan,2006 Mahindra Scorpio,87.8,172,
Giovana,Dias,Court officer,Monk Home Funding Services,2010 Mazda BT-50,50.7,165,
Clara,Goncalves,Court reporter,Alladin Realty,2010 Hyundai Matrix,71.9,154,
Yasmin,Pinto,Court reporter,Block Distributors,1996 Proton Saloon,93.3,155,
Danilo,Barros,"Court, municipal, and license clerk",Twin Food Stores,1999 Volkswagen Gol,110.4,188,
Andre,Sousa,Courtesy van driver,Garden Guru,2011 Volkswagen CC,69.6,175,
Raissa,Costa,Courtesy van driver,Handy Dan,1996 Mazda RX-01,95.6,172,
Victor,Oliveira,CPA,Yesterday's Records,1998 Dodge Dakota,80,178,
Nicolash,Gomes,Craft artist,Liberal,2004 MG ZT,84.1,171,
Guilherme,Souza,Craft artist,Vari-Tec,2009 Buick Park Avenue,97.1,180,
Vinicius,Correia,Creative director,S&W Cafeteria,1993 Chevrolet Blazer,77.6,179,
Joao,Souza,Credentials specialist,Sambo's,1994 Austin Montego,70,173,
Nicolas,Cunha,Credit analyst,Royal Gas,2012 SSC Tuatara,111,183,
Jalio,Oliveira,Credit authorizer,Enviro Architectural Designs,2005 Ford GT,70,170,
Miguel,Almeida,Credit counselor,Chi-Chi's,2006 Volvo S40,98.6,183,
Tiago,Martins,Credit counselor,Gamble-Skogmo,2010 Fiat Fiorino,84.3,178,
Luan,Martins,Credit investigator,Dun Rite Lawn Maintenance,2011 Nissan Note,64,178,
Renan,Dias,Credit investigator,Ernst Home Centers,2007 Ford Maverick,82.5,172,
Luis,Pinto,Credit manager,Pay 'N Pak,1993 Eagle Summit,68,186,
Sofia,Dias,Credit reporter,Stop and Shop,1999 Lincoln LS,104.1,172,
Pedro,Azevedo,Criminal lawyer,Red Owl,2008 Alfa Romeo 147,86.7,171,
Daniel,Sousa,Criminologist,Planet Profit,2011 Nissan Maxima,64.2,179,
Rodrigo,Pereira,Criminologist,Walt's IGA,1996 Toyota Venture,111.3,183,
Tania,Fernandes,Critical care nurse,Purity Supreme,1998 Opel Speedster,95.8,157,
Clara,Santos,Crop farm manager,Capitalcorp,2000 Fiat Scudo,100.6,170,
Isabella,Martins,Crop farm manager,Crazy Tiger,2011 Hyundai i20,98.9,166,
Raissa,Ribeiro,Crop farm manager,Muirhead's,1997 Mitsubishi Challenger,58.9,167,
Isabela,Castro,Crop scientist,All Wound Up,2011 Infiniti FX,62.2,157,
Martim,Barbosa,Crop scientist,Monk Home Funding Services,2009 Lancia Thesis,71.9,181,
Diego,Goncalves,Crossing guard,Formula Grey,2003 Mercedes-Benz A,63.5,175,
Otavio,Silva,Crossing guard,Morrison's Cafeteria,1997 Donkervoort D8,86.6,176,
Alex,Carvalho,Crossing guard,MVP Sports,2006 Hyundai XG 350,71.4,168,
Marcos,Martins,Crossing guard,StopGrey,1994 Fiat Ulysse,80.2,180,
Carlos,Ferreira,"Crushing, grinding, and polishing machine operator",Flagg Bros. Shoes,1997 Renault Megane,86.5,183,
Paulo,Correia,"Crushing, grinding, and polishing machine tender",Cavages,2008 Seat Ibiza,68.2,165,
Giovanna,Carvalho,Cryptanalyst,Solution Realty,2000 Honda CR-V,69.4,156,
Leticia,Goncalves,CT technologist,Dick Fischers,2008 Alfa Romeo 159,92.9,155,
Melissa,Almeida,CT technologist,Our Own Hardware,2012 BMW 760,83.5,166,
Bruna,Rodrigues,Curator,Dubrow's Cafeteria,1996 Vector M12,95.1,154,
Isabela,Martins,Curriculum specialist,Galyan's,2001 Lamborghini Murcielago,76.2,163,
Carlos,Castro,Curriculum specialist,Pro Yard Services,2010 Fiat Ulysse,68.2,179,
Eduardo,Cunha,Curriculum specialist,The Goose and Duck,1997 Nissan President,106.3,182,
Sophia,Cardoso,Curriculum specialist,Tower Records,2012 BMW X1,64.3,154,
Sarah,Barros,Custodian,ABC Markets,2005 Chevrolet Uplander,74,167,
Vinicius,Correia,Custodian,AM/PM Camp,2009 Ford Shelby GT 500,75.4,166,
Carla,Sousa,Custodian,Prahject Planner,2007 GMC Sierra,77.6,155,
Joao,Azevedo,Custom inspector,A Plus Lawn Care,2005 Mini One,91.4,185,
Larissa,Pinto,Custom inspector,Saturday Matinee,2002 Lincoln Continental,100.8,175,
Paulo,Cunha,Customer service representative,Leath Furniture,1998 Renault Grand Espace,74,183,
Amanda,Azevedo,Customer service representative,Sears Homelife,2001 Smart ForFour,86.6,168,
Luis,Ribeiro,Customer services manager,Chi-Chi's,1997 Volkswagen Gol,104.5,164,
Paulo,Cavalcanti,Customs inspector,Ole's,1998 Chrysler PT Cruiser,83.8,168,
Evelyn,Cardoso,Customs inspector,Olympic Sports,2011 Mazda BT-50,54.4,166,
Murilo,Santos,Cutter,Budget Tapes & Records,2000 Chevrolet Venture,105,170,
Sophia,Goncalves,Cutting and slicing machine operator,Standard Brands Paint Company,2003 Seat Alhambra,78.8,166,
Tania,Santos,Cutting machine operator,Circuit Design,2000 Hyundai Coupe,70.4,172,
Martim,Oliveira,"Cutting, punching, and press machine operator",Central Hardware,2008 Holden Captiva,70.4,185,
Isabelle,Pinto,"Cutting, punching, and press machine tender",Afterthoughts,2002 Ferrari Maranello,97.8,161,
Emilly,Ferreira,"Cutting, punching, and press machine tender",Electronics Source,2000 Chrysler Neon,79.1,173,
Joao,Rocha,"Cutting, punching, and press machine tender",Tweeter,2012 GMC Acadia,82.8,177,
Beatriz,Silva,Cytotechnologist,Vitamax Health Food Center,2002 Lexus SC,55.6,169,
Rebeca,Rodrigues,Dairy farmer,Bugle Boy,2012 Audi Q7,50.3,155,
Breno,Ribeiro,Dairy farmer,Lawnscape Garden Maintenance,2007 Ford Galaxy,106.6,168,
Gabrielly,Lima,Dairy farmer,Mr. D's IGA,2012 Daihatsu Sirion,85.5,163,
Maria,Pereira,Dance captain,Knockout Kickboxing,2005 Daewoo Kalos,70.6,165,
Jalio,Correia,Data entry clerk,Nickerson Farms,2002 Subaru Forester,81.9,170,
Carolina,Melo,Data entry clerk,Saturday Matinee,2014 Acura TL,74.6,171,
Renan,Almeida,Data entry keyer,Adaptas,2005 BMW 325,103.9,180,
Marina,Cardoso,Data entry keyer,Mansmann's Department Store,1999 Volvo V70,89.6,166,
Gabrielle,Martins,Data entry worker,Ole's,2010 GMC Envoy,99.7,169,
Jalia,Oliveira,Data entry worker,Prahject Planner,2007 Chevrolet Malibu,81.3,157,
Daniel,Barbosa,Data entry worker,Whitlocks Auto Supply,1996 AC Cobra,96.3,176,
Marcos,Lima,Data input clerk,Nickerson Farms,1992 Vauxhall Carlton,87.8,168,
Raissa,Barros,Data input clerk,Tianguis,1997 Honda S-MX,90.6,154,
Larissa,Santos,Data processing equipment repairer,Eisner Food Stores,2005 Chevrolet Aveo,65.8,169,
Vitoria,Rodrigues,Data processor,Omni Source,2003 Hyundai Galloper,96.3,168,23.934-520
Amanda,Santos,Data typist,Aaronson Furniture,1994 Opel Corsa,84.3,151,
Carolina,Carvalho,Data typist,Warshal's,2010 Ford Falcon,49.6,165,
Raissa,Pereira,Database administrator,Grass Roots Yard Services,2008 Fiat Ulysse,54.7,175,
Mariana,Alves,DEA agent,AM/PM Camp,2012 Nissan Murano CrossCabriolet,84.1,161,
Carolina,Azevedo,DEA agent,Rex Audio Video Appliance,2000 Ford Econoline,99.1,165,
Isabelle,Alves,Dean,Action Auto,2010 Mitsubishi Eclipse,75.6,152,
Leticia,Goncalves,Dean,WWW Realty,2001 Lada Roadster,57.2,171,
Anna,Araujo,Decommissioning and decontamination (D&D) worker,Knockout Kickboxing,1999 Toyota Camry,65.5,166,
Victor,Cavalcanti,Decontamination technician,Paul Harris,1999 Ford O21 C,92.6,176,
Tania,Cunha,Delivery services truck driver,National Shirt Shop,1998 Vector M12,74.3,153,
Anna,Barbosa,Delivery services truck driver,Prospa-Pal,2010 Mitsubishi Endeavor,100.6,154,
Gabrielle,Fernandes,Demographer,Kelsey's Neighbourhood Bar & Grill,2000 Mercedes-Benz E,101.2,169,
Evelyn,Cavalcanti,Demographic economist,Baltimore Markets,2010 Dodge Avenger,79.3,156,
Thiago,Pereira,Demographic economist,Polk Brothers,2005 Fiat Siena,82,182,
Vitoria,Ribeiro,Dental assistant,Orion,2003 Chevrolet SSR,85,174,
Davi,Santos,Dental ceramist,Megatronic,2002 Mercedes-Benz S,62.7,177,03.563-222
Douglas,Silva,Dental hygienist,Xray Eye & Vision Clinics,2011 Toyota Avensis,78.6,174,
Tiago,Barros,Dental laboratory technician,Spaceage Stereo,2012 Kia Carens,93.7,171,
Brenda,Ferreira,Dental surgeon,Exact Solutions,1994 Hyundai Excel,78.8,167,
Vitor,Lima,Dental surgeon,National Shirt Shop,2010 Lexus LS,87.6,175,
Larissa,Fernandes,Dental surgeon,Thom McAn Store,2007 Hyundai Accent,76.3,171,
Eduardo,Castro,Dental surgery doctor,Brand Names,2010 Pagani Zonda,78.3,162,
Matilde,Rocha,Dental surgery doctor,Square Circle,2011 Chrysler Voyager,77.1,174,
Beatrice,Goncalves,Dental technician,Crandall's Fine Furniture,2014 Subaru Outback,48.6,151,
Luan,Correia,Dental technician,Disc Jockey,2008 Volvo C70,60.3,174,
Danilo,Alves,Dental technician,Furrow's,2012 Nissan Juke,69.3,182,
Gabriela,Oliveira,Department manager,Mr Fables,2007 BMW M6,61,161,
Samuel,Barbosa,Deputy marshal,Total Yard Maintenance,1999 ZAZ Slavuta,108.2,181,
Danilo,Castro,Deputy sheriff,Buttrey Food & Drug,1998 Peugeot Expert,88.2,186,
Julian,Barbosa,Deputy sheriff,Henry's Hamburgers,1998 Honda CRX,63.8,181,
Emilly,Costa,Deputy sheriff,Hill-Behan,1995 Fiat 126,96.3,157,
Gabrielle,Almeida,Deputy sheriff,Magna Architectural Design,1993 Fiat Punto,69,167,
Evelyn,Ribeiro,Deputy sheriff,Woolf Brothers,2006 Peugeot 207,78.1,169,
Enzo,Correia,Dermatologist,Parklane Hosiery,2006 Kia Carens,76.1,177,
Kai,Sousa,Dermatology nurse,Universal Design Partners,2001 Ford Crown Victoria,67.8,171,
Sofia,Alves,Derrick operator,PriceRite Warehouse Club,2009 BMW 530,62.7,166,
Clara,Araujo,Derrick operator,Stop N Shop,2008 Tata Safari,89.3,155,
Estevan,Correia,Design consultant,Security Sporting Goods,2009 Alfa Romeo 159,86.2,170,
Joao,Rodrigues,Design printing machine operator,A Plus Lawn Care,2012 Volkswagen CC,79.6,178,
Davi,Carvalho,Design printing machine operator,Hit or Miss,2010 Lancia Musa,80.8,170,
Felipe,Rocha,Design printing machine operator,Kent's,2004 BMW 760,96,180,
Ana,Almeida,Desktop publisher,Huffman and Boyle,1998 Reliant Scimitar,78.1,166,
Enzo,Dias,Desktop publisher,Integra Investment Service,1997 Subaru Vivio,80.2,180,
Anna,Almeida,Desktop publisher,Modern Realty,2004 BMW 120,62,159,
Luana,Fernandes,Desktop publisher,Thompson,2007 Citroen C3,51,154,
Camila,Costa,Detective,Eagle Food Centers,2006 Proton Gen-2,104.3,158,
Luis,Azevedo,Detective,John M. Smyth's Homemakers,1992 Aston Martin V8 Vantage,91.7,183,08.810-100
Leonor,Silva,Detention officer,Family Toy,2011 Mazda MPV,98.7,155,
Rebeca,Ferreira,Detention officer,Rich and Happy,1999 Citroen C 15,85.7,162,
Alex,Fernandes,Developmental disabilities nurse,Friendly Interior Design,2004 Tata Indica,111.2,177,
Vitor,Rodrigues,Diagnostic medical sonographer,Buttrey Food & Drug,2009 Hyundai Entourage,74,181,
Erick,Cavalcanti,Diagnostic medical sonographer,House of Gas,1996 Mercedes-Benz SL,64.1,171,
Marisa,Souza,Die maker,Enrich Garden Services,1996 Venturi 400,55.5,150,
Daniel,Melo,Diesel mechanic,Jackpot Consultant,2010 Seat Exeo,69.7,168,
Vinicius,Souza,Diesel mechanic,Star Assistance,2005 BMW 318,63.1,165,
Yasmin,Rocha,Diesel service technician,Henry's Hamburgers,2011 Volvo XC90,77.2,155,
Vitoria,Fernandes,Diesel service technician,Monlinks,2005 Mahindra Armada,86.8,159,
Thiago,Cardoso,Diesel train engineer,Team Uno,2005 Ford E-150,103.8,169,
Marisa,Araujo,Dietitian,Fretter,2001 Volvo S80,87.8,167,
Gustavo,Sousa,Digital electronic prepress worker,Kessel Food Market,2010 BMW 550,99.9,182,
Kai,Costa,Digital electronic prepress worker,Morrie Mages,2014 Cadillac ATS,100,172,
Fernanda,Costa,Digital imaging technician,Cellophane Square,2009 Toyota Avensis,56.5,168,
Rafaela,Alves,Digital imaging technician,Sanitary Grocery Stores,2011 Nissan 370Z,64.1,159,
Gabrielle,Ribeiro,Digital imaging technician,Security Sporting Goods,1994 Mitsubishi Magna,54.8,167,
Antonio,Silva,Dinkey operator,Asian Fusion,2007 Cadillac STS,105.4,169,30.520-520
Rafaela,Costa,Dinkey operator,"Deco Refreshments, Inc.",2003 Pininfarina Enjoy,64.6,170,
Gabrielle,Cunha,Dinkey operator,Yardbirds Home Center,2006 Jaguar XK,69.1,172,
Bruna,Silva,Dipper,Tradewell,2002 Pininfarina Start,83,175,
Marisa,Cavalcanti,Direct care worker,Kiddie City,1998 Renault Megane,74.1,150,
Kai,Pinto,Direct care worker,Square Circle,2001 Mercedes-Benz CLK GTR,95.5,187,
Luiza,Lima,Director,Dream Home Real Estate Service,2001 Holden Berlina,75.1,163,
Fabio,Cunha,Directory assistance operator,Red Bears Tavern,2009 Chevrolet Suburban,75.9,163,
Lucas,Ferreira,Disc jockey,Strongbod,2007 Mazda Tribute,61.6,170,
Lara,Cunha,Dishwasher,Access Asia,1994 Dodge Spirit,64.4,159,
Nicolash,Santos,Dispatcher,Sofa Express,1999 Mercedes-Benz S,86.9,178,
Danilo,Azevedo,Distribution clerk,System Star Solutions,1997 Kia Capital,87,181,
Guilherme,Martins,Division secretary,Shabby Chic,1996 Mazda 121,64.1,178,
Sofia,Ribeiro,DJ,University Stereo,2005 Kia Optima,52,163,
Kai,Souza,Documentation specialist,Copeland Sports,1998 Nissan Terrano II,114.2,181,
Isabelle,Pinto,Door-to-door sales worker,Grodins,1999 Chevrolet Impala,87.5,163,
Gustavo,Oliveira,Dot etcher,Solution Answers,1997 Honda EV,63.1,182,
Caio,Sousa,"Dredge, excavating, and loading machine operator",Mr. AG's,2007 Saturn Aura,86.7,190,
Vinicius,Castro,"Dredge, excavating, and loading machine operator",Woolf Brothers,2007 Land Rover Discovery,74.9,189,
Paulo,Sousa,Dressmaker,Matrix Architectural Service ,2011 Mazda B4000,85.5,181,
Samuel,Dias,Drilling and boring machine tool setter,Crafts Canada,2014 Lexus IS F,112.4,182,13.995-000
Thais,Dias,Drilling and boring machine tool setter,Official All Star Cafe,1999 Rolls-Royce Silver Spur,75,159,
Vitoria,Rocha,Driver-sales worker,Fellowship Investments,2002 Lada 110,92.2,172,
Vinicius,Araujo,Driver-sales worker,Flagg Bros. Shoes,2002 Daihatsu YRV,66,181,
Thiago,Cunha,Driver-sales worker,Maloley's Finer Foods,1997 Volkswagen Fusca,90.2,182,
Martim,Pereira,Dry-cleaning worker,Handyman,1993 Renault 19,88.9,174,
Murilo,Fernandes,Drywall installer,Wag's,2010 Chrysler PT Cruiser,81.2,183,
Agatha,Barros,DTP operator,Adapt,2001 Daihatsu Altis,68.8,160,
Joao,Araujo,DTP operator,Handy City,2000 Ford TL-50,77.9,179,
Beatriz,Rodrigues,Dyeing machine operator,Home Quarters Warehouse,2002 Cadillac Eldorado,50.7,167,
Matilde,Barbosa,Dyeing machine operator,Network Air,2011 Alfa Romeo 159,98.4,163,
Leticia,Oliveira,Dyeing machine operator,Noodle Kidoodle,2010 Honda Jazz,55.2,155,
Carla,Souza,Dyeing machine operator,White Hen Pantry,1995 Audi Coupe,50,171,
Matilde,Martins,Echocardiographer,Record Bar,2008 BMW 750,97.6,157,
Matheus,Melo,Economic geographer,Opticomp,2009 BMW 316,63.2,179,
Kaua,Silva,Economist,Coffey's Market,1994 Suzuki Samurai,79.5,173,
Lavinia,Dias,Edition binding worker,Janeville,2004 BMW X3,76.4,160,
Beatrice,Barros,Edition binding worker,Omni Architectural Designs,2005 Suzuki Lapin,76,153,
Eduardo,Carvalho,Editor,Excella,2012 BMW M5,79.2,183,
Agatha,Almeida,Editor,Multicerv,1998 Fiat Duna,58.9,172,
Tania,Almeida,Editor,Patterson-Fletcher,2007 Infiniti QX56,70.1,165,
Kai,Lima,Education and training manager,Atlas Realty,2007 BMW 323,107.5,175,
Victor,Pinto,Education and training manager,Pomeroy's,1993 Ginetta G27,92.9,179,
Marina,Santos,Education planner,The Flying Bear,2006 Pontiac GTO,64.4,157,
Kai,Barros,Educational counselor,Lafayette Radio,1998 Venturi 400,103,182,
Bruno,Cavalcanti,Educational counselor,Littler's,1992 Ferrari 512 TR,70.5,176,
Rodrigo,Pereira,Educational counselor,Super Shops,2009 Scion xB,72.4,188,
Raissa,Goncalves,EEO representative,One-Up Realtors,2012 Scion xD,74.6,151,
Lara,Azevedo,EKG technician,Museum Company,2000 Volkswagen Caddy,59,159,
Carla,Pereira,EKG technician,Young @ Heart,2009 Mercedes-Benz GL,81.9,168,
Martim,Araujo,Electric motor repairer,Blue Boar Cafeterias,2006 BMW 650,63.5,169,
Andre,Fernandes,Electrical and electronic equipment assembler,Knockout Kickboxing,2007 Morgan 44,83.8,180,
Isabella,Souza,Electrical and electronic equipment assembler,Star Bright Investment Group,1995 Citroen AX,97.4,153,
Manuela,Souza,Electrical and electronics engineering technician,Wild Oats Markets,2000 Isuzu Kai,50.4,154,31035-470
Luis,Azevedo,Electrical and electronics installer,The Lawn Guru,1997 Cadillac Eldorado,82.7,166,
Luiza,Almeida,Electrical and electronics repairer,Monsource,2001 Renault Clio,91.9,172,
Martim,Rodrigues,Electrical drafter,Grodins,2008 Holden Captiva,99,175,
Rafael,Dias,Electrical inspector,Full Color,1998 Saturn SL,73.3,184,
Nicolas,Santos,Electrical line worker,Cut Rite,2011 Acura RL,97.8,182,
Larissa,Fernandes,Electrical line worker,Judy's,2015 Audi A4,82.4,156,
Erick,Silva,Electrical line worker,Solution Realty,2007 Cadillac STS,107.4,184,
Rafaela,Fernandes,Electrical line worker,Total Yard Management,2000 Chrysler 300,81.6,163,
Marina,Ferreira,Electrical power line repairer,Lawn N' Order Garden Care,2003 Ferrari 360,86.8,154,
Victor,Carvalho,Electrician,"10,000 Auto Parts",2008 Scion xB,103.1,168,
Bruno,Cunha,Electrician,Super Duper,2012 Opel Zafira,103.8,178,
Manuela,Araujo,Electrocardiograph (EKG) technician,Brown Derby,1992 Peugeot 504,85.6,161,
Anna,Ribeiro,Electrocardiograph (EKG) technician,Ideal Garden Management,2003 Ford Econovan,65.8,170,
Carolina,Almeida,Electrocardiograph (EKG) technician,Value Giant,2011 Ford Mustang,71.2,166,
Tiago,Alves,Electrologist,Wellby,2003 Kia Sephia II,76.1,187,
Estevan,Correia,Electromechanical engineering technician,Almacs,2007 Volkswagen Sharan,90.8,168,
Enzo,Cavalcanti,Electromechanical equipment assembler,Action Auto,1993 Lada Samara,86.5,163,
Daniel,Fernandes,Electronic data processor,Indiewealth,2004 Samsung SM5,96.5,183,
Marisa,Fernandes,Electronic data processor,Lionel Playworld,2012 Seat Leon,78.3,162,
Aline,Pereira,Electronic equipment installer,Standard Food,2001 Fiat Punto,96.2,155,
Rafael,Souza,Electronic equipment repairer,Ideal Garden Management,1999 Land Rover Freelander,82.7,175,
Bruno,Costa,Electronic equipment repairer,Infinity Investment Plan,1992 Oldsmobile Eighty-Eight,110.7,177,
Diego,Cavalcanti,Electronic equipment repairer,The Flying Bear,2000 Daewoo Magnus,103.2,174,
Luis,Dias,Electronic equipment repairer,Twin Food Stores,2011 Citroen Berlingo,87.4,187,
Rebeca,Carvalho,Electronic home entertainment equipment installer,Cellophane Square,2005 Ariel Atom,57.8,160,
Julian,Oliveira,Electronic home entertainment equipment repairer,Roberd's,1997 Hyundai Pony,69.6,165,
Tania,Castro,Electronic masking system operator,Avant Garde Interior Designs,2006 Lamborghini Gallardo,85.1,172,
Gabriel,Ribeiro,Electronic masking system operator,Best Products,2007 Jeep Wrangler,75.9,170,
Nicole,Ferreira,Electronic masking system operator,Brand Names,1993 Mazda MX-3,67.3,168,
Gabriel,Pinto,Electronic masking system operator,Strategy Planner,2000 Honda Civic,102.1,174,
Evelyn,Cardoso,Electronic newsgathering operator,Omni Source,2012 Kia Soul,57.6,159,
Danilo,Pereira,Electronic prepress technician,Lawnscape Garden Maintenance,2001 Ford Focus,83.6,178,
